"uri_hls";"name";"definition";"birthdate";"new_uri_wikidata";"gv_uri_wikidata";"new_uri_idref";"gv_uri_idref";"new_uri_viaf";"gv_uri_viaf"
"https://hls-dhs-dss.ch/articles/027786";"Lydia Welti-Escher";"Swiss Maecenas (1858-1891)";"(1858, 7, 10)";"http://www.wikidata.org/entity/Q117524";"http://www.wikidata.org/entity/Q117524";"http://www.idref.fr/102442819/id";"";"http://viaf.org/viaf/813462";"http://viaf.org/viaf/813462"
"https://hls-dhs-dss.ch/articles/032001";"Walther Ritz";"Swiss physicist (1878-1909)";"(1878, 2, 22)";"http://www.wikidata.org/entity/Q124079";"http://www.wikidata.org/entity/Q124079";"http://www.idref.fr/035000457/id";"";"http://viaf.org/viaf/24719767";"http://viaf.org/viaf/24719767"
"https://hls-dhs-dss.ch/articles/017075";"Johann Ludwig Burckhardt";"Swiss traveller and writer (1784-1817)";"(1784, 11, 24)";"http://www.wikidata.org/entity/Q39691";"http://www.wikidata.org/entity/Q39691";"http://www.idref.fr/033481199/id";"";"http://viaf.org/viaf/59176329";"http://viaf.org/viaf/285289973"
"https://hls-dhs-dss.ch/articles/026027";"Johann Samuel König";"German mathematician";"(1712, 7, 31)";"http://www.wikidata.org/entity/Q64773";"http://wikidata.org/entity/Q64773";"http://www.idref.fr/165905255/id";"http://www.idref.fr/165905255/id";"http://viaf.org/viaf/66494565";""
"https://hls-dhs-dss.ch/articles/030003";"René Thury";"Electricity transmission pioneer";"(1860, 8, 7)";"http://www.wikidata.org/entity/Q124383";"http://www.wikidata.org/entity/Q124383";"";"";"http://viaf.org/viaf/18302420";"http://viaf.org/viaf/18302420"
"https://hls-dhs-dss.ch/articles/026065";"Johann Rudolf Mieg";"(1694-1733)";"(1694, 1, 1)";"http://www.wikidata.org/entity/Q55856620";"";"http://www.idref.fr/250808161/id";"http://www.idref.fr/250808161/id";"http://viaf.org/viaf/440362";""
"https://hls-dhs-dss.ch/articles/026032";"Daniel Langhans";"Swiss physician (1728-1813)";"(1728, 11, 2)";"http://www.wikidata.org/entity/Q94131944";"http://wikidata.org/entity/Q94131944";"http://www.idref.fr/111253667/id";"http://www.idref.fr/111253667/id";"http://viaf.org/viaf/63156361";""
"https://hls-dhs-dss.ch/articles/042985";"Hans Bendel";"Swiss artist (1814-1853)";"(1814, 10, 18)";"http://www.wikidata.org/entity/Q1578629";"http://www.wikidata.org/entity/Q1578629";"http://www.idref.fr/233772553/id";"";"http://viaf.org/viaf/35257187";"http://viaf.org/viaf/35257187"
"https://hls-dhs-dss.ch/articles/006254";"Hans Conzett";"Swiss publisher and politician (1915-1996)";"(1915, 7, 27)";"http://www.wikidata.org/entity/Q1579071";"http://www.wikidata.org/entity/Q1579071";"";"";"http://viaf.org/viaf/56149066569465601572";"http://viaf.org/viaf/56149066569465601572"
"https://hls-dhs-dss.ch/articles/022712";"Irène Zurkinden";"Swiss painter (1909-1987)";"(1909, 12, 11)";"http://www.wikidata.org/entity/Q1673322";"http://www.wikidata.org/entity/Q1673322";"http://www.idref.fr/155078585/id";"";"http://viaf.org/viaf/20491215";"http://viaf.org/viaf/20491215"
